Datasheet 3: Test Dataset,,,
,,,
smiles,DD2,,
COC(C)(C)C(=O)N1CCCCNC(=O)c2cc(Cl)ccc2OC[C@@H](Cc2ccccc2)NC(=O)C1,0,,
CC(C)[C@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)CCc2ccccc2)CC(=O)N1,0,,
O=C1CN(C(=O)c2cnco2)CCCCNC(=O)c2cc(Cl)ccc2OC[C@@H](Cc2ccccc2)N1,0,,
CC(C)[C@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccc3ncccc3c2)CC(=O)N1,0,,
CCN1CCOc2ccccc2C(=O)N[C@@H](CC(=O)N2CCC(O)CC2)C(=O)N[C@@H](CC(C)C)C1=O,0,,
CNCCOc1c(OC)cccc1C(=O)N1CCOCCOc2ccc(-c3cccnc3)cc2Cc2cccc(c2)C1,1,,
CC(=O)N[C@@H](C(=O)N1CC[C@@H]2NC(=O)[C@H](Cc3ccccc3)NC(=O)C3(C/C=C/C[C@@H]2C1)CCOCC3)C(C)C,0,,
CC(=O)N[C@H](CC(C)C)C(=O)N1CC[C@@H]2NC(=O)[C@H](Cc3ccccc3)NC(=O)C3(C/C=C/C[C@@H]2C1)CCOCC3,0,,
CC(=O)N[C@H](C(=O)N1CC[C@H]2NC(=O)[C@H](Cc3ccccc3)NC(=O)C3(C/C=C/C[C@@H]2C1)CCOCC3)[C@@H](C)OC(C)(C)C,0,,
CCN1CCOc2ccccc2CCCCC2(CCN(C(=O)[C@H](N)CO)CC2)C1=O,0,,
Cc1ncncc1C(=O)N1CCCCNC(=O)c2cc(Cl)ccc2OC[C@@H](Cc2ccccc2)NC(=O)C1,0,,
CC(C)[C@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)Cc2cccc(F)c2)CC(=O)N1,0,,
COc1ccccc1C(=O)N1CCCCNC(=O)c2cc(Cl)ccc2OC[C@@H](CC(C)C)NC(=O)C1,0,,
CC(C)[C@H]1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)CCc2cnn(C)c2)CC(=O)N1,0,,
CC(C)C[C@@H]1COc2ccc(Cl)cc2C(=O)N[C@@H](CC(=O)N2CC(O)C2)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C,0,,
CN(C)CCOc1cccc(C(=O)N2CCC3(CCCCOC[C@@H]4CCCN4C(=O)c4cccc(c4)OC3)CC2)c1,0,,
CC(=O)N[C@H](C(=O)N1CC[C@@H]2NC(=O)[C@H](Cc3ccccc3)NC(=O)C3(C/C=C/C[C@@H]2C1)CCOCC3)[C@@H](C)OC(C)(C)C,0,,
COc1cc2c(cc1CCC(=O)N1CCC3(CCCCc4ccccc4OCCN(C)C3=O)CC1)CCC2,0,,
